,公司名,公司领域,招聘岗位,薪资,公司位置,学历,工作年限,发布时间,岗位职责,岗位要求,公司人数
221,米可世界,社交网络,数据分析工程师,['面议'],['北京'],['统招本科'],['2年以上'],2020年04月03日,1、深入理解公司业务，不断优化数据指标埋点及评价体系，输出数据报告，并对异常波动进行分析；2、推进业务增长，不断发掘薄弱环节，为产品及运营提供优化和改善方案，并监控优化效果；3、推动数据可视化、系统化，负责数据系统建设； ,1、3年左右数据及数据分析相关经验，统计、数学、计算机等相关专业优先；2、良好的分析能力和逻辑思维，具备条理性、数据敏感性；3、主动思考，责任心强，执行力高，有团队意识；加分项,"['100', '499']"
222,首创钜大有限公司,商业地产,数据分析运营,['10-20k·12薪'],['北京-朝阳区'],['本科及以上'],['3年以上'],2020年04月03日,1、	负责公司财务数据管理，以数据管理员身份参与分析系统建设、新功能开 发、系统升级等工作，保证数据信息完整，进一步提高数据质量；2、	负责财务数据特征体系建设，包括,财务数据、业务数据及相关 外部大数据等；3、	负责与财务管理中心、各项目沟通，监督公司会员数据质量、主数据、元 数据等管理规范落地实施，数据模型开发，内部培训、上线运行。任职要求,"['500', '999']"
223,首创钜大有限公司,商业地产,会员及全渠道数据分析岗,['10-20k·12薪'],['北京-建外大街'],['统招本科'],['3年以上'],2020年04月03日,1、	负责公司会员及全渠道数据管理，以数据管理员身份参与分析系统建设、 新功能开发、系统升级等工作，保证数据信息完整，进一步提高数据质量；2、	负责会员及全渠道数据特征体系建设，包括,业务数据、泛会员 行为数据、互联网爬得数据及相关外部大数据等；3、	负责首创钜大泛会员营销体系数据模型的研发和优化，包括但不限于,"['500', '999']"
224,汽车之家,社交网络,数据分析师,['20-30k·16薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1、负责业务运营数据分析，多维度、多模型地全面刻画业务数据状态，编制分析报告，提出业务管理的改进建议；2、与各业务团队对接，完成相关的数据分析需求，并构建数据分析体系，推动数据平台化；3、结合行业数据和市场趋势，定期针对业务及行业发展输出分析报告；4、具有独立承担复杂分析任务的能力，支持各方不定期的数据相关需求；,1、本科及以上学历，统计、数学、计算机、相关专业，3年以上数据分析相关工作经验；2、熟练使用Hive、SQLsever、Excel、PPT、Xmind、Tableau等工具；3、熟练编写各类业务需求分析、数据分析文档，文档的样式整洁、描述清晰、完整的覆盖分析要求；4、好奇心强，求知欲强，有钻研探索精神，对数据分析有强烈兴趣者优先，能将重复的工作自动化；5、至少熟练掌握SPSS、R、Python等一种工具或语言；,"['2000', '5000']"
225,阿芙精油,电子商务,数据分析专员(J10051),['10-20k·12薪'],['北京-朝阳区'],['统招本科'],['3年以上'],2020年04月03日,1、为电商运营团队提供数据分析支持；2、负责业务数据收集整理，对多种数据源的进行深度组合分析、挖掘、深度分析和建模，对相关数据进行深度挖掘分析；3、对公司内部数据业务的运营进行评估和建议，从数据的角度推动公司内部流程管理，数据质量优化和数据库迭代建设 ；4、深入理解业务，发现业务特征，进行衍生数据价值挖掘支持；5、了解各大电子商务平台，能够整合各个运营团队的数据，并进行统一整理输出。,1、全日制高校本科以上学历，应用数学、统计学或相关专业；2、5年（含）以上数据分析经验，有过海量数据分析经验；3、具备良好的沟通能力和表达能力，有独立开展数据调研、数据分析、报告编写的经验；4、热爱数据分析工作，能有至少一种数据业务架构设计的经验，善思考、逻辑思维能力强；5、对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力。,"['100', '499']"
226,CMGE中手游,游戏产业,数据分析,['10-18k·12薪'],['北京-朝阳区'],['本科及以上'],['2年以上'],2020年04月03日,1、负责游戏运营数据分析，维护游戏运营指标体系，对各个业务线开展数据分析，撰写数据分析报告等工作；2、完善公司数据分析平台，提出新的数据指标以及完善原有指标；3、负责公司运营监控报表体系的日常维护，包括数据更新，指标解读，异常分析等，监控业绩达成情况；4、理解公司重点关注工作，收集部门的数据需求，并建立分析报表；5、深入业务，理解业务逻辑，根据业务阶段性调整给出数据建议；,1、数学、统计学、数量经济学、计算机等相关专业，大专及以上学历；2、手游行业从业2年以上，有相关的数据分析经验优先；3、熟练操作EXCEL（常规函数、数据透视表等），熟练撰写分析报告；4、掌握SAS/SPSS/R等分析工具优先，熟悉统计分析、数据挖掘相关算法；5、对游戏产品有自己深入思考和洞察，有独立的数据分析能力，能够基于数据区分需求优先级，并且快速提升数据表现。,"['1000', '2000']"
227,美团点评,互联网/移动互联网/电子商务,服务体验部-高级数据分析师,['17-30k·15薪'],['北京'],['统招本科'],['5年以上'],2020年04月03日,●	依托业务流程关键节点，梳理核心指标并逐层拆解，建立指标分析体系，明确分析维度；●	通过日常数据指标监控，发现问题并给予优化建议；●	挖掘业务机会，预警潜在风险，完成分析报告并及时输出，为管理层提供决策支持及建议；●	针对业务，通过深度分析进行数据价值挖掘，提供业务策略支持；●	配合各业务部门项目，给予数据支持，从多种数据源组合数据进行深度诊断分析，完成业务专题分析，输出核心业务报告。,●	统招本科及以上学历，5年以上互联网行业商业分析、数据分析工作经验；●	优秀的数据分析能力及结构化思维，敏锐的数据洞察力；●	具备良好的沟通协调能力，学习能力，成就驱动，具有团队合作精神，诚实正直；●	熟练掌握常见数据分析工具，具备复杂数据提炼和呈现能力，掌握撰写数据分析报告技能。,['10000']
228,新东方教育科技集团有限公司,教育/培训/学术/科研/院校,商业数据分析,['10-20k·15薪'],['北京'],['统招本科'],['3年以上'],2020年04月03日,,,['10000']
229,北京金羊泰和投资咨询有限公司,租赁服务,终端数据分析员,['6-8k·12薪'],['北京'],['本科及以上'],['经验不限'],2020年04月03日,1、负责公司相关业务的数据统计分析；2、构建并维护全面的、准确的能反映出业务特征的整体指标体系，及时发现并定位业务问题；3、负责公司小程序及微信公众号的维护及相关事项；4、负责公司投标项目以及相关投标信息的收集、筛选、跟进；5、负责投标文件的编制、上传、整体投标文件的排版、打印、盖章、装订等相关工作，确保投标文件按时投递；6、协助公司各类文案的起草。,1、管理学、金融学、法律、计算机、财务等相关专业本科及以上学历者；2、具有较强的文字功底；3、能够熟练运用办公常用软件（如word 、excel、PPT等）；4、形象好、气质佳，具有较强责任心和沟通能力，工作态度积极主动；5、具有两年以上相关经验者优先，优秀应届毕业生亦可。,"['1', '49']"
230,广州数说故事信息科技有限公司,互联网/移动互联网/电子商务,商业数据分析经理,['面议'],['北京-国贸'],['本科及以上'],['5年以上'],2020年04月03日,1、带领团队服务制造、快消、汽车、零售等行业知名大客户，负责需求沟通、研究方案设计、项目管理和最终交付；2、基于需求理解，整合使用大数据和分析工具完成深度洞察的商业分析报告，为客户提供切实可行的商业建议；3、总结沉淀项目经验，设计商业解决方案，并驱动内部分析产品的研发与优化；4、管理和培养分析师团队，制定团队管理与工作计划，完成团队KPI。,1、了解制造、快消、互联网、零售等行业，有极强的商业sense和数据sense，善于利用数据挖掘商业价值，帮助企业解答商业问题；2、熟练掌握各类研究方法，思维逻辑严密，搭建清晰的研究框架，能针对数据分析结论提出有指导意义的商业建议；3、优秀的沟通协调能力，抗压性强，自我驱动力强，结果导向；4、5年以上相关工作经验，其中2年以上团队管理经验，优秀者可适当放宽；5、大学本科或以上学历，商科、数学、统计、计算机等相关专业优先； 6、有互联网数据分析、市场研究、咨询行业背景者优先。,"['100', '499']"
231,欢聚集团,互联网/移动互联网/电子商务,数据分析专家 (MJ002629),['20-40k·13薪'],['北京-海淀区'],['本科及以上'],['5年以上'],2020年04月03日,1、深度洞察短视频行业和产品，并进行深入细致的行业分析，为公司业务提供分析支持。2、商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略、算法策略、以及产品功能的现存问题，并提出有价值的落地策略3、有较强的业务sense，迅速定位到业务问题并提出有价值的改进意见,1、本科及以上学历，计算机或统计、数学相关专业优先；2、具有一二线行业互联网工作经验，有较强的信息流产品理解优先3、具备良好的数据敏感性，熟练使用SQL，并了解R，Python，SAS等至少一门分析建模语言4、有较强的自驱及驱动他人的能力，有带领团队管理经验和跨部门经验,"['2000', '5000']"
232,指数资本 Index Capital,证券,数据分析师,['12-20k·12薪'],['北京-大望路'],['本科及以上'],['1年以上'],2020年04月03日,1、深度研究案例模型，推演客户战略规划，构建业务模型、财务模型和估值模型；2、深度参与融资服务中财务尽职调查相关工作，给予结论及建议；3、解决融资服务过程中的其他数据相关事宜；4、采集相关案例及行业数据，编制数据库。,1、本科及以上学历，985院校优先；2、投行、金融、券商、四大、咨询实习或工作背景优先；3、极强的学习能力、研究分析能力，严谨的逻辑思维能力和良好的沟通能力；4、对TMT和一级市场有浓厚的兴趣。,"['50', '99']"
233,百融云创科技股份有限公司,金融科技,高级数据分析师（北京） (MJ000047),['面议'],['北京-朝阳区'],['硕士及以上'],['2年以上'],2020年04月03日,1.完成数据测试及匹配结果分析工作；2.使用建模工具进行信用模型及反欺诈模型开发，包括数据准备.建模及数据分析.模型的选取与优化.模型验证等工作；3.对海量业务数据进行分析，深度挖掘内部数据，构建风控指标体系并具备开发特征库及解释相应衍生变量.规则的能力；4.熟悉风控审批.额度.定价策略的制定方法及相应建模流程；5.针对不同金融机构和业务给出相应的风控建模方案，向客户进行阐释并参与实施；6.针对客户痛点进行业务引导并提供技术支持；7.具备探索新业务场景的能力与热情，对于知识与技术向新场景迁移和应用有独立的见解。,1.两年以上相关领域工作经验，统计.数学.计算机.金融工程等相关专业硕士及以上学历，有较好数学或代码基础者优先；2.至少能熟练运用SAS.R.Python中的一种进行数据分析或建模，熟练掌握数据库操作（如SQL语句）；3.掌握逻辑回归.决策树.机器学习等算法，了解算法的原理；4.具备独立思考的能力，逻辑严谨，对数据敏感，善于发现.探索并解决问题，自我驱动力强；5.有较强的责任心及抗压能力；6.有建模大赛经验优先；7.同等条件下表达能力强者优先。,"['500', '999']"
234,新东方教育科技集团有限公司,教育/培训/学术/科研/院校,数据分析（财务方向）,['10-15k·15薪'],['北京'],['本科及以上'],['2年以上'],2020年04月03日,1. 完善公司经营分析体系设计，形成定期分析报告；2. 结合公司经营情况变化，定期撰写财务分析报告及专题报告；3. 协助校区租赁预测方案中统计描述分析部分撰写；4. 其他临时性分析工作。,1、本科以上学历，2年以上数据分析相关工作经验，统计学、经济、财务、金融类专业优先，互联网运营分析或教育行业分析相关经验者优先；2、具有定期分析报告撰写相关经验；3、熟练使用Excel和数据处理，会使用SQL、R等语言者优先；4、良好的学习能力、沟通能力、独立的分析判断能力，具有团队配合理念；5、积极进取，乐观向上，责任心强，追求卓越。,['10000']
235,58同城,互联网/移动互联网/电子商务,数据分析建模师(J14857),['面议'],['北京-酒仙桥'],['统招本科'],['2年以上'],2020年04月03日,1、有较强的数据敏感性、逻辑思维能力及沟通表达能力，快速的业务理解和学习能力；2、深度挖掘大数据服务平台需求，完成大数据服务平台产品、数据指标建设应用产品、用户画像/智能推荐方向产品规划与设计；3、有一定算法基础，参与智能化项目数据分析工作，如对数据进行加工，挖掘数据指标间关联信息，并通过产品化形式反馈业务，指导业务决策；4、完成产品的策划、原型、流程和交互设计，跟踪项目进度，协调资源推动产品迭代开发，确保按时高质量发布；5、与跨部门团队密切合作，保证数据中台类产品能与各系统顺利集成。,1、本科及以上学历，数学、统计、计算机、计量经济、数据挖掘、物理等理科专业，3年以上数据分析或数据分析产品设计工作经验2、具备至少两年以上数据建模经验，做过推荐系统或有互联网金融、电商背景优先；3、熟练使用MySQL，Oracle的查询功能，R、SAS、Python 精通一种或以上；4、对常见分析方法或算法有一定理解，含LR，SVM，Ensembled Tree， Simple Bayes，ANN，K-Means，Association Rules，IV，Chisquare，entropy 等。,['10000']
236,kappa,服装服饰/纺织/皮革,数据分析专员,['6-9k·14薪'],['北京-大兴区'],['本科及以上'],['1年以上'],2020年04月03日,1、 根据业务要求进行数据库建设，完成日常业务以及指标达成等工具化呈现；2、 以业务的角度建立定量分析模型，协助完成针对进、销、存及其他业务纬度的数据监控、分析；3、 对每日、周、月的数据进行业务数据的监控、清洗、整理、分析、定期出具分析报告；4、 对部门内提出的数据需求给予支持。,1、计算机、数学、统计相关专业；2、熟练使用EXCEL、ACCESS、SQL，了解PYTHON；3、 了解数据分析的基本方法，具备较强的数据分析、归纳能力；4、 能熟练运用统计分析方法更佳；5、做事严谨、细致、执行力强，抗压能力强，具备较强的团队合作精神；6、能适应出差。,"['500', '999']"
237,北京美住必成科技有限公司,O2O服务,数据分析经理,['15-30k·15薪'],['北京-朝阳区'],['本科及以上'],['5年以上'],2020年04月03日,1、深入了解业务，构建业务指标体系，日常数据整理、统计处理、报表的维护；2、业务相关数据细化分析，针对各项不定期业务需求，能够独立完成专题统计分析，输出专项分析报告，为业务决策提供数据支持；3、及时发现和反馈业务系统中出现的问题，并协助相关人员进行解决；4、持续完善各项业务数据的统计模型，对系统化数据报表提出合理优化建议。 ,1、全日制本科及以上学历（统计、数学专业优先）；2、有5年以上的数据分析经验，住宿或酒店行业经验优先考虑；3、了解基本数据处理、分析流程，并熟练使用excel，熟练使用SQL、Hive，了解BI报表开发；4、具备良好的逻辑思维能力、快速学习能力、团队合作的能力和跨部门沟通能力；5、为人正直，积极主动，能够独当一面。,"['1000', '2000']"
238,京东商城,互联网/移动互联网/电子商务,用户与数据分析岗,['面议'],['北京-大兴区'],['本科及以上'],['2年以上'],2020年04月03日,1. 对手机行业研究和趋势分析，对数据进行整合、分析处理，梳理数据价值2. 对京东大数据进行研究，挖掘手机产品机会，为产品规划输入信息；3. 对手机品类的用户人群划分、画像分析，利用人群特征提取用户痛点和喜好,1、大学本科以上，统计学、计算机相关专业；2、有大数据公司或市场调研公司工作经历者优先，应届硕士毕业生也可3、精通PPT，excel，python，SQL等大数据工具,['10000']
239,北京自如生活企业管理有限公司,O2O服务,数据分析师（品质线）,['面议'],['北京-朝阳区'],['统招本科'],['3年以上'],2020年04月03日,1、根据品质线业务逻辑，建立并优化核心指标体系，帮助定位业务问题的关键因素；2、能从多维度且跨部门进行业务指标运营分析，通过数据驱动品质业务提升，高效解决品质线实际业务问题；3、规划品质线数据看板，梳理数据监控目标和统计口径，推动线上化实时看板搭建；4、根据日常数据挖掘及洞察，高效高质输出周度、月度品质分析报告，辅助管理层决策；5、根据部门需求，统筹专项数据分析，输出分析报告及决策意见。,1、统招本科以上学历，具备3年以上数据分析领域的经验，统计、经济学、社会学或相关专业；2、具有良好的业务理解能力和逻辑拆解能力，对解决有挑战性的问题充满热情；3、具备较强的独立解决问题能力、抗压能力及沟通能力，能够和职能、业务团队保持高效沟通；4、熟练掌握Spss，SQL，熟悉powerBI或tableau等可视化工具，了解Python/R等建模语言；5、熟悉基本的机器学习算法，具有应用模型算法进行典型数据挖掘课题（预测、回归、聚类等）研究的相关经验者优先。,['10000']
240,京东商城,互联网/移动互联网/电子商务,供应链数据分析岗（消费品),['11-17k·12薪'],['北京-大兴区'],['本科及以上'],['3年以上'],2020年04月03日,1、负责品类整体库存数据分析，对库存现状进行解读，寻找库存管理机会，并输出专题分析报告； 2、跟踪业务数据，监控数据波动和异常，通过数据分析发现业务问题和机会点，为业务及供应链改进提供建议； 3、跨部门协调和沟通，收集、反馈并解决业务数据等相关问题； 4、部门及其他的数据分析工作；,1、全日制本科及以上；统计学，应用数学、信息科技等相关专业优先 2、有3-5年数据工作经验；  3、熟练使用Excel和SQL等数据分析工具；  4、逻辑分析能力强，有极强的数据敏感度、数据分析和提炼归纳的能力； 5、具备较强的学习能力以及抗压能力、优秀的沟通能力，良好的团队合作精神,['10000']
241,四川长虹佳华信息产品有限责任公司,IT服务/系统集成,大数据分析师,['面议'],['北京-科技园区'],['统招本科'],['2年以上'],2020年04月03日,1、结合现有系统数据和数据仓库数据进行业务数据分析建模，改善管理效率；2、配合公司的互联网战略转型计划，基于数据工作视角提供转型方案设计建议；3、全流程参与公司数据中台的搭建；4、未来在数据中台上进行机器学习/智慧商业功能的开发。,1、重点大学数学，统计学，计算机相关专业本科以上学历；2、有互联网公司运营管理分析经验，了解互联网公司商业模式原理；3、熟悉数据分析建模的常用方法，有相关工作经验；4、熟练使用SQL/Excel，R/Python等专业分析工具至少熟悉一种；5、思路敏捷，逻辑清晰，有独立思考能力，喜欢创新性工作；6、了解数据中台的概念或有相关工作经验者优先。,"['1000', '2000']"
242,同方股份计算机与多媒体产业本部,计算机硬件/网络设备,数据分析师（销售管理方向）,['8-15k·12薪'],['北京-五道口'],['本科及以上'],['1年以上'],2020年04月03日,1、围绕公司经营目标，细分销售任务，制定销售团队、销售人员的销售指标； 2、将销售计划转化为,检查销售计划完成情况，发现问题及时处理，支持和激励每一个销售人员完成销售指标；3、建立销售体系的数据分析体系，对销售业绩进行数据分析、总结、完成周、月度、季度等相关专题分析报告，为决策层提供决策依据；4、领导临时性的业务分析及销售业务支持工作。任职资格,['10000']
243,猎聘,互联网招聘,商业数据分析师（产品方向）,['面议'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1、负责公司多产品模块的数据分析支持，支撑产品线业务；2、负责产品模块下的数据分析体系建设；3、负责产品模块下业务逻辑和底层数据的梳理和维护；4、负责产品模块下数据产品的设计和维护。,1、三年以上大中型企业业务/商业数据分析相关工作经验；2、参与过两个以上大型数据分析研究项目；3、熟练掌握SQL语言，熟悉MYSQL、hive等至少一种数据库；4、有较强的沟通能力、逻辑思维和好奇心；5、可以主动发掘业务问题，并提出对业务的独立见解；6、本科（含）以上学历，商科、咨询背景优先。,"['2000', '5000']"
244,猎聘,互联网招聘,商业数据分析师,['面议'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1、负责产品模块的数据分析支持；2、负责产品模块下的数据分析体系建设；3、负责产品模块下业务逻辑和底层数据的梳理和维护；4、负责产品模块下数据产品的设计和维护。,1、三年以上大中型企业业务/商业数据分析相关工作经验；2、参与过两个以上大型数据分析研究项目；3、熟练掌握SQL语言，熟悉MYSQL、hive等至少一种数据库；4、有较强的沟通能力、思维能力和好奇心；5、可以主动发掘业务问题，并提出对业务的独立见解；6、本科（含）以上学历，商科、咨询背景优先，985/211院校优先。,"['2000', '5000']"
245,北京自如生活企业管理有限公司,O2O服务,数据分析师,['9-15k·15薪'],['北京-朝阳区'],['统招本科'],['1年以上'],2020年04月03日,1、	根据业务逻辑进行核心指标体系的梳理，支撑核心指标中长期变化的归因，帮助定位业务增长的关键驱动因素；2、	能从多维度进行业务指标运营分析，指导和支持公司业务发展，高效解决实际业务问题；3、规划重要业务指标看板，梳理数据监控目标和统计口径，推动生产数据报表化；4、负责定向的数据分析项目，输出优化建议及方案。,1、统招本科以上学历，具备2年以上数据分析领域的经验，统计、经济学、社会学或相关专业；2、具有良好的业务理解能力和逻辑拆解能力，对解决有挑战性的问题充满热情；3、沟通能力强，能够和职能、业务团队保持高效沟通；4、熟练掌握SQL，熟悉powerBI或tableau等可视化工具，了解Python/R等建模语言；5、熟悉基本的机器学习算法，具有应用模型算法进行典型数据挖掘课题（预测、回归、聚类等）研究的相关经验者优先。,['10000']
246,益博睿信息技术,IT服务/系统集成,Senior Data Modeler 高级数据分析师,['面议'],['北京-酒仙桥'],['本科及以上'],['3年以上'],2020年04月03日,,,"['100', '499']"
247,四川长虹佳华信息产品有限责任公司,IT服务/系统集成,商业数据分析师,['面议'],['北京-丰台区'],['统招本科'],['3年以上'],2020年04月03日,1、结合现有系统数据和数据仓库数据进行业务数据分析建模，改善管理效率；2、配合公司的互联网战略转型计划，基于数据工作视角提供转型方案设计建议；3、全流程参与公司数据中台的搭建；4、未来在数据中台上进行机器学习/智慧商业功能的开发。,1、重点大学数学，统计学，计算机相关专业本科以上学历；2、有互联网公司运营管理分析经验，了解互联网公司商业模式原理；3、熟悉数据分析建模的常用方法，有相关工作经验；4、熟练使用SQL/Excel，R/Python等专业分析工具至少熟悉一种；5、思路敏捷，逻辑清晰，有独立思考能力，喜欢创新性工作；6、了解数据中台的概念或有相关工作经验者优先。,"['1000', '2000']"
248,上海浦东发展银行股份有限公司北京分行(简称:上海浦东发展银行北京分行),银行,零售银行数据分析岗,['25-35k·12薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,基于本行零售业务业务发展和管理需求，业务经营现状及行业发展趋势，通过提炼数据产品需求，构建数据模型，沉淀分析思路与框架，逐步建立数据分析体系。对本行零售业务的运营管理及经营发展提供决策支持。同时，基于业务监控指标体系，及时发现业务问题。,1. 负责本行零售业务数据的汇总与分析，编制公司月、季、年度经营分析报告；2. 根据本行零售业务发展的需要，开展相关专题的数据挖掘与研究，并形成研究分析报告；3.完善本行零售业务指标体系，优化业务流程，提升业务转化效率，为产品、运营、市场和销售等的优化提供数据支持。岗位要求,[]
249,易智瑞(中国)信息技术有限公司,计算机软件,高级数据分析师,['15-25k·12薪'],['北京-柳芳'],['本科及以上'],['3年以上'],2020年04月03日,,,"['100', '499']"
250,TalkingData,互联网/移动互联网/电子商务,高级数据分析师（数据经理）(J10346),['20-30k·12薪'],['北京'],['本科及以上'],['4年以上'],2020年04月03日,a）岗位职责1、负责数据产品的设计；2、规划业务领域主题模型，与业务沟通并管理数据需求；3、参与数据仓库支持工具设计；4、面向数据应用于数据治理的数据分析与数据探索；,b）任职要求1、本科及以上学历，5-10年数据分析经验；2、深入理解数据仓库建设和业务建模理论，掌握E-R模式和Kimball维度模型设计；3、熟悉OLAP和OLTP技术，能进行SQL优化，进行ETL开发；4、有大规模数据处理的实践经验；,"['500', '999']"
251,清华大学天津电子信息研究院,电子技术/半导体/集成电路,大数据分析工程师,['10-20k·12薪'],['北京'],['本科及以上'],['2年以上'],2020年04月03日,,,"['100', '499']"
252,TalkingData,互联网/移动互联网/电子商务,数据分析师(J10344),['15-25k·12薪'],['北京-东直门'],['本科及以上'],['2年以上'],2020年04月03日,1、基于对数据使用场景、流程的梳理，进行有效地数据探索；2、设计数据产品、产品生命周期的管理；3、撰写和维护数据产品的文档，如数据产品白皮书等；,1、本科及以上学历，1-3年数据分析经验，统计学、数学、经济学等相关经验；2、会使用sql及其他统计分析软件，如excel；3、良好的沟通表达，逻辑思维，团队协作能力；4、对数据敏感，有良好的数据分析意识，工作积极主动，乐于面临挑战；,"['500', '999']"
253,美团点评,互联网/移动互联网/电子商务,数据分析师,['面议'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1.	建立基于地方政府事务的数据指标体系；2.	基于业务关注重点，对地方政府事务数据指标进行整合，定期生成数据周报/月报，动态发现问题，并进行归因；3.	深入业务，就海量数据相关内容深入分析、建模、挖掘，提供有价值的业务洞察、剖析报告，给出策略建议；4.	不断研究和探索业内前沿话题和相关数据指标；5.	有能力将数据分析产品化、线上化，为战略分析提供抓手。,1.	统计、数学、信息技术相关专业硕士以上学历，2年以上相关工作经验；2.	良好的分析工具使用经验；3.	良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验； 4.	热爱数据分析工作，诚实正直、责任心强，出色的执行和沟通能力，能承受较大的工作压力；5.	熟练掌握统计理论，以及常用数据分析挖掘方法，如,['10000']
254,真有两把刷子(北京)科技有限公司,O2O服务,BI数据分析师,['20-30k·13薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1、基于用户历史数据模型，发掘有效的用户场景，构建行为规律模型2、个性化会员服务模型的数据分析和定价测算3、针对产品和运营关注的问题，通过数据分析提供决策支持,1、35岁以下，本科及以上学历，理工科背景，统计学、数学、运筹学等专业优先2、熟练掌握SQL等数据查询语言，对数据库的相关知识有一定了解3、3年或以上互联网数据分析经验，大厂优先4、有电商类用户产品分析经验者优先5、良好的业务数据分析视角，擅长从业务问题中抽离数据模型6、逻辑清晰，团队协作和沟通能力强,"['100', '499']"
255,车好多集团,O2O服务,商业数据分析师13301,['20-30k·13薪'],['北京'],['本科及以上'],['3年以上'],2020年04月03日,1.   对接业务线需求，对需求进行梳理，对业务问题进行深度诊断性组合分析、挖掘、深度分析，并给出建议；2.   沉淀分析思路与框架，提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地 ；3.   与相关团队协作进行数据建模工作，推动业务部门的数据化运营 。,1.   统计、数学，计算机相关专业统招本科及以上学历， 至少3年相关工作经验  ；2.  熟练SQL，熟练使用EXCEL处理、分析数据，能够独立撰写分析报告；3.   有数据建模、数据运营、数据产品规划经验，互联网工作背景优先；4.   有较强的逻辑推理能力，善于从商业角度解读数据；5.   熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；,['10000']
256,北京海彼网络科技有限公司,游戏发行,游戏数据分析师,['15-30k·15薪'],['北京-朝阳区'],['统招本科'],['2年以上'],2020年04月03日,1、通过数据分析对游戏运营提供数据支撑，达成任务目标，并通过总结与改进，不断提升产品数据，实现精细化运营目的；2、构建并完善游戏项目运营数据分析体系，优化数据维度提升数据平台的使用效率，为日常游戏业务相关的提供数据支持；3、针对游戏项目进行专项数据分析，包括并不限于用户价值、流失、游戏生态、活动版本效果等，综合评估并输出报告；4、通过数据挖掘和探索分析用户行为数据（如用画像分析，用户生态等）、游戏数值设计合理性等信息，根据分析结果，推动协调研发调整、运营方向、内容规划、资源投放等关键内容；,"1、本科以上学历，数学、统计学、计算机等相关专业；2、3年以上工作经验，至少2年以上从事游戏数据分析工作，对数据分析感兴趣；3、拥有手游完整项目数据分析经验，对游戏有深刻体验，对主流游戏的核心玩法、商业化设计，经济系统、社交系统等，都有一定的了解；4、有成熟的数据分析经验,熟练掌握和使用excel，至少熟练掌握一种查询工具（SQL、hive），至少掌握一种分析工具（SPSS、R语言、SAS等）；5、工作细致耐心、积极主动，有强烈的责任感，有较好的ppt报告撰写能力；","['50', '99']"
257,58同城,互联网/移动互联网/电子商务,高级数据分析师(J12211),['面议'],['北京-朝阳区'],['统招本科'],['3年以上'],2020年04月03日,1、结合集团各业务推进的实际情况，研究业务相关行业的发展趋势、竞争格局、新技术新产品、市场动态等；根据研究情况提出业务发展的有关建议； 2、构建资讯管理机制，建立健全信息共享制度和流程；3、配合各业务单元开展行业和竞争分析，提出有关策略和建议；,1、本科及以上学历，3年以上互联网数据分析经验，具有行业分析经验优先；2、掌握基本分析模式与工具，具体优秀的推动能力与沟通能力；3、有过房产、招聘、汽车、本地服务等互联网相关方向统计、情报分析、竞争分析经验优先。,['10000']
